"","objectsDF$country_code","total"
"1","AFG",8
"2","AGO",2
"3","ALB",8
"4","AND",1
"5","ANT",15
"6","ARA",1
"7","ARE",150
"8","ARG",272
"9","ARM",4
"10","ATG",2
"11","AUS",1045
"12","AUT",194
"13","AZE",5
"14","BDI",2
"15","BEL",279
"16","BEN",1
"17","BGD",49
"18","BGR",82
"19","BHR",8
"20","BHS",2
"21","BIH",3
"22","BLR",29
"23","BLZ",3
"24","BMU",5
"25","BOL",3
"26","BRA",470
"27","BRB",4
"28","BRN",1
"29","BWA",1
"30","CAN",2711
"31","CHE",391
"32","CHL",84
"33","CHN",479
"34","CIV",1
"35","CMR",5
"36","COL",54
"37","CRI",25
"38","CSS",43
"39","CUB",1
"40","CYM",9
"41","CYP",48
"42","CZE",118
"43","DEU",1420
"44","DMA",2
"45","DNK",276
"46","DOM",12
"47","DZA",1
"48","ECU",3
"49","EGY",69
"50","ESP",898
"51","EST",80
"52","ETH",1
"53","FIN",338
"54","FRA",1269
"55","FST",3
"56","GBR",5205
"57","GEO",7
"58","GHA",28
"59","GIB",7
"60","GLP",1
"61","GRC",105
"62","GRD",1
"63","GTM",7
"64","HKG",204
"65","HRV",48
"66","HTI",1
"67","HUN",71
"68","IDN",112
"69","IND",3071
"70","IOT",1
"71","IRL",505
"72","IRN",10
"73","IRQ",1
"74","ISL",47
"75","ISR",808
"76","ITA",479
"77","JAM",6
"78","JOR",36
"79","JPN",329
"80","KAZ",3
"81","KEN",39
"82","KGZ",1
"83","KOR",145
"84","KWT",9
"85","LAO",2
"86","LBN",24
"87","LIE",4
"88","LKA",24
"89","LTU",58
"90","LUX",44
"91","LVA",50
"92","MAR",16
"93","MCO",1
"94","MDA",5
"95","MDG",1
"96","MDV",7
"97","MEX",126
"98","MKD",10
"99","MLT",21
"100","MMR",4
"101","MTQ",3
"102","MUS",12
"103","MYS",107
"104","NAM",1
"105","NCL",1
"106","NFK",1
"107","NGA",66
"108","NLD",672
"109","NOR",163
"110","NPL",21
"111","NRU",1
"112","NZL",154
"113","OMN",4
"114","PAK",123
"115","PAN",17
"116","PCN",1
"117","PER",18
"118","PHL",90
"119","POL",221
"120","PRI",15
"121","PRK",3
"122","PRT",164
"123","PRY",3
"124","PST",7
"125","QAT",9
"126","REU",2
"127","ROM",170
"128","RUS",358
"129","RWA",1
"130","SAU",23
"131","SDN",1
"132","SEN",2
"133","SGP",388
"134","SLE",2
"135","SLV",2
"136","SMR",2
"137","SOM",1
"138","SUR",1
"139","SVK",27
"140","SVN",29
"141","SWE",478
"142","SWZ",4
"143","SYC",4
"144","SYR",1
"145","THA",64
"146","TTO",1
"147","TUN",8
"148","TUR",311
"149","TWN",90
"150","TZA",1
"151","UGA",15
"152","UKR",155
"153","UMI",10
"154","URY",34
"155","USA",37048
"156","UZB",3
"157","VCT",1
"158","VEN",16
"159","VGB",5
"160","VIR",2
"161","VNM",57
"162","YEM",2
"163","ZAF",216
"164","ZMB",1
"165","ZWE",4
