"","countryfreq","categoryfreq","investmentaffinity","fundingaffinity","milestones","timeinmilestone","relationships","outcome"
"1",0.578092578435808,0.0588951120957299,0,0,0,-1,2,0
"2",0.578092578435808,0.0588951120957299,0,0,2,632,2,0
"3",0.00184095979531023,0.0588951120957299,0,0,1,0,1,0
"4",0.00196577062889059,0.0588951120957299,0,0,1,275,3,0
"5",0.578092578435808,0.0588951120957299,0,0,1,38,5,0
"6",0.00430597375852224,0.0588951120957299,0,0,1,0,1,0
"7",0.0812050485982183,0.0588951120957299,0,0,0,-1,0,0
"8",0.0812050485982183,0.0588951120957299,0,0,0,-1,0,0
"9",0.0140100160693948,0.0588951120957299,0,0,0,-1,3,0
"10",0.578092578435808,0.0588951120957299,0,0,1,143,1,0
"11",0.0140100160693948,0.0588951120957299,0,0,0,-1,2,0
"12",0.0422952712295427,0.0588951120957299,0,0,0,-1,0,0
"13",0.578092578435808,0.0588951120957299,0,0,1,0,1,0
"14",0.578092578435808,0.0588951120957299,0,0,3,2120,14,0
"15",0.578092578435808,0.0588951120957299,0,0,3,2053,5,0
"16",0.578092578435808,0.0588951120957299,0,0,1,0,2,0
"17",0.00424356834173206,0.0588951120957299,0,0,1,73,1,0
"18",0.578092578435808,0.0588951120957299,0,0,1,1346,7,0
"19",0.00485202115543629,0.0588951120957299,0,0,0,-1,2,0
"20",0.578092578435808,0.0588951120957299,0,0,2,4496,6,0
"21",0.00010920947938281,0.0588951120957299,0,0,0,-1,4,0
"22",0.578092578435808,0.0588951120957299,0,0,1,3347,6,0
"23",0.0479117587406587,0.0588951120957299,0,0,0,-1,0,0
"24",0.578092578435808,0.0588951120957299,0,0,2,436,6,0
"25",0.578092578435808,0.0588951120957299,0,0,0,-1,0,0
"26",0.578092578435808,0.0588951120957299,0,0,1,366,2,0
"27",0.578092578435808,0.0588951120957299,0,0,0,-1,1,0
"28",0.578092578435808,0.0588951120957299,0,0,0,-1,1,0
"29",0.578092578435808,0.0588951120957299,0,0,1,6,1,0
"30",0.000156013541975443,0.0588951120957299,0,0,0,-1,3,0
"31",0.578092578435808,0.0588951120957299,0,0,0,-1,1,0
"32",0.578092578435808,0.0588951120957299,0,9.39764408269542e-08,1,0,3,0
"33",0.578092578435808,0.0588951120957299,0,0,2,823,13,0
"34",0.578092578435808,0.0588951120957299,0,0,1,365,3,0
"35",0.578092578435808,0.0588951120957299,0,0,1,589,1,0
"36",0.578092578435808,0.0588951120957299,0,0,5,3576,34,0
"37",0.578092578435808,0.0588951120957299,0,0,0,-1,0,0
"38",0.578092578435808,0.0588951120957299,0,0,2,40037.9938657407,40,0
"39",0.578092578435808,0.0588951120957299,0,0,1,5997,0,0
"40",0.00747304866062374,0.0588951120957299,0,0,1,0,1,0
"41",0.0812050485982183,0.0588951120957299,0,0,1,546,4,0
"42",0.578092578435808,0.0588951120957299,0,0,2,2075,11,0
"43",0.0422952712295427,0.0588951120957299,0,0,0,-1,0,0
"44",0.578092578435808,0.0588951120957299,0,0,3,3201,25,0
"45",0.0140100160693948,0.0588951120957299,0,0,1,571,2,0
"46",0.578092578435808,0.0588951120957299,0,0,1,1827,2,0
"47",0.0197981184766838,0.0588951120957299,0,0,1,885,0,0
"48",0.0422952712295427,0.0588951120957299,0,0,0,-1,0,0
