objectsDF$country_code,total
AFG,8
AGO,2
ALB,8
AND,1
ANT,15
ARA,1
ARE,150
ARG,272
ARM,4
ATG,2
AUS,1045
AUT,194
AZE,5
BDI,2
BEL,279
BEN,1
BGD,49
BGR,82
BHR,8
BHS,2
BIH,3
BLR,29
BLZ,3
BMU,5
BOL,3
BRA,470
BRB,4
BRN,1
BWA,1
CAN,2711
CHE,391
CHL,84
CHN,479
CIV,1
CMR,5
COL,54
CRI,25
CSS,43
CUB,1
CYM,9
CYP,48
CZE,118
DEU,1420
DMA,2
DNK,276
DOM,12
DZA,1
ECU,3
EGY,69
ESP,898
EST,80
ETH,1
FIN,338
FRA,1269
FST,3
GBR,5205
GEO,7
GHA,28
GIB,7
GLP,1
GRC,105
GRD,1
GTM,7
HKG,204
HRV,48
HTI,1
HUN,71
IDN,112
IND,3071
IOT,1
IRL,505
IRN,10
IRQ,1
ISL,47
ISR,808
ITA,479
JAM,6
JOR,36
JPN,329
KAZ,3
KEN,39
KGZ,1
KOR,145
KWT,9
LAO,2
LBN,24
LIE,4
LKA,24
LTU,58
LUX,44
LVA,50
MAR,16
MCO,1
MDA,5
MDG,1
MDV,7
MEX,126
MKD,10
MLT,21
MMR,4
MTQ,3
MUS,12
MYS,107
NAM,1
NCL,1
NFK,1
NGA,66
NLD,672
NOR,163
NPL,21
NRU,1
NZL,154
OMN,4
PAK,123
PAN,17
PCN,1
PER,18
PHL,90
POL,221
PRI,15
PRK,3
PRT,164
PRY,3
PST,7
QAT,9
REU,2
ROM,170
RUS,358
RWA,1
SAU,23
SDN,1
SEN,2
SGP,388
SLE,2
SLV,2
SMR,2
SOM,1
SUR,1
SVK,27
SVN,29
SWE,478
SWZ,4
SYC,4
SYR,1
THA,64
TTO,1
TUN,8
TUR,311
TWN,90
TZA,1
UGA,15
UKR,155
UMI,10
URY,34
USA,37048
UZB,3
VCT,1
VEN,16
VGB,5
VIR,2
VNM,57
YEM,2
ZAF,216
ZMB,1
ZWE,4
